"","X","fullname","Category","Country","League","Position","Rating","Club","DIV","REF","GKP","HAN","POS"
"6333",7550,"Codina","Basic","Spain","LaLiga 1 I 2 I 3","GK",69,"CF Reus","75","67","66","68","66"
"6345",7562,"Ahmet Sahin","Basic","Turkey","Süper Lig","GK",69,"Kardemir Karabükspor","68","70","76","69","76"
"6346",7563,"Cristian Muñoz","Basic","Argentina","Campeonato Scotiabank","GK",69,"CD Universidad de Concepción","70","71","74","64","74"
"6348",7565,"Jesper Hansen","Basic","Denmark","Alka Superliga","GK",69,"Lyngby BK","69","69","71","67","71"
"6411",7636,"Joel Silva","Basic","Paraguay","Liga Dimayor","GK",69,"Deportes Tolima","74","68","67","68","67"
"6418",7643,"André Weis","Basic","Germany","Bundesliga 2","GK",69,"1. FC Kaiserslautern","76","78","59","67","59"
"6419",7644,"André Weis","Basic","Germany","Bundesliga 2","GK",69,"1. FC Kaiserslautern","76","78","59","67","59"
"6434",7661,"Mandé Sayouba","Basic","Ivory Coast","Tippeligaen","GK",69,"Stabæk Fotball","70","75","70","65","70"
"6435",7662,"Mandé Sayouba","Basic","Ivory Coast","Tippeligaen","GK",69,"Stabæk Fotball","70","75","70","65","70"
"6464",7696,"Sinan Bolat","Basic","Turkey","Liga NOS","GK",69,"CD Nacional","70","72","68","67","68"
"6470",7702,"Federico Vilar","Basic","Argentina","LIGA Bancomer MX","GK",69,"Club Tijuana","68","71","64","68","64"
"6482",7715,"Thomas Kessler","Basic","Germany","Bundesliga","GK",69,"1. FC Köln","70","67","68","70","68"
"6495",7730,"Stephen Henderson","Basic","Republic of Ireland","EFL Championship","GK",69,"Nottingham Forest","69","72","68","67","68"
"6508",7743,"Shin Hwa Yong","Basic","Korea Republic","K LEAGUE Classic","GK",69,"Pohang Steelers","74","74","69","63","69"
"6517",7752,"Leandro Chichizola","Basic","Argentina","Calcio B","GK",69,"La Spezia","70","69","69","73","69"
"6518",7753,"Leandro Chichizola","Basic","Argentina","Calcio B","GK",69,"La Spezia","70","69","69","73","69"
"6542",7779,"Piotr Leciejewski","Basic","Poland","Tippeligaen","GK",69,"SK Brann","70","69","67","72","67"
"6603",7853,"Esteban Alvarado","Basic","Costa Rica","Süper Lig","GK",69,"Trabzonspor","73","73","67","67","67"
"6605",7855,"Ezequiel Unsain","Basic","Argentina","Primera División","GK",69,"Newell's Old Boys","80","74","60","64","60"
"6608",7858,"Luis Marín","Basic","Chile","Campeonato Scotiabank","GK",69,"Club Deportes Temuco","69","72","67","71","67"
"6610",7860,"Jérôme Prior","Basic","France","Ligue 1","GK",69,"FC Girondins de Bordeaux","73","74","64","67","64"
"6622",7872,"Jan Zimmermann","Basic","Germany","Bundesliga 2","GK",69,"TSV 1860 München","69","72","68","67","68"
"6662",7912,"Andrea Seculin","Basic","Italy","Calcio A","GK",69,"Chievo Verona","73","79","63","67","63"
"6671",7921,"Jordi Masip","Basic","Spain","LaLiga Santander","GK",69,"FC Barcelona","68","75","64","68","64"
"6672",7922,"Alexandre Letellier","Basic","France","Ligue 1","GK",69,"Angers SCO","67","72","70","68","70"
"6674",7924,"Gabriel Arias","Basic","Argentina","Primera División","GK",69,"Defensa y Justicia","70","76","66","66","66"
"6686",7936,"Abdoulaye Diallo","Basic","Senegal","Ligue 1","GK",69,"Stade Rennais FC","70","75","70","63","70"
"6687",7937,"Abdoulaye Diallo","Basic","Senegal","Süper Lig","GK",69,"Çaykur Rizespor","70","75","70","63","70"
"6751",8001,"Mejías","Basic","Spain","Premier League","GK",69,"Middlesbrough","69","70","68","71","68"
"6752",8002,"Julio Chiarini","Basic","Argentina","Primera División","GK",69,"Club Atlético Sarmiento","72","73","73","65","73"
"6773",8023,"Mouez Hassen","Basic","France","Ligue 1","GK",69,"OGC Nice","75","69","70","65","70"
"6798",8048,"Sebastian Mielitz","Basic","Germany","Bundesliga 2","GK",69,"SpVgg Greuther Fuerth","72","73","66","68","66"
"6801",8051,"Yaroslav Godzyur","Basic","Ukraine","Sogaz Russian Football Championship","GK",69,"Terek Grozny","69","67","71","71","71"
"6802",8052,"Juan Carlos","Basic","Spain","LaLiga 1 I 2 I 3","GK",69,"Elche CF","74","74","67","64","67"
"6810",8060,"Karl-Johan Johnsson","Basic","Sweden","Ligue 1","GK",69,"En Avant de Guingamp","68","75","69","63","69"
"6839",8091,"Oier","Basic","Spain","LaLiga Santander","GK",69,"Granada CF","70","65","75","66","75"
"6856",8108,"Joris Delle","Basic","France","Eredivisie","GK",69,"N.E.C.","71","71","67","69","67"
"6864",8116,"Alex Smithies","Basic","England","EFL Championship","GK",69,"Queens Park Rangers","71","68","70","69","70"
"6891",8145,"Jacob Rinne","Basic","Sweden","Belgium Pro League","GK",69,"KAA Gent","76","74","67","66","67"
"6895",8149,"Sten Michael Grytebust","Basic","Norway","Alka Superliga","GK",69,"Odense Boldklub","70","76","65","67","65"
"6901",8156,"Jens Grahl","Basic","Germany","Bundesliga 2","GK",69,"VfB Stuttgart","74","75","66","65","66"
"6950",8205,"Walter Benítez","Basic","Argentina","Ligue 1","GK",69,"OGC Nice","70","72","68","68","68"
"6957",8212,"Martin Männel","Basic","Germany","Bundesliga 2","GK",69,"FC Erzgebirge Aue","73","77","61","69","61"
"6972",8227,"Raffaele Di Gennaro","Basic","Italy","Calcio B","GK",69,"Terni","71","74","67","67","67"
"6992",8248,"Carl Ikeme","Basic","Nigeria","EFL Championship","GK",69,"Wolverhampton Wanderers","72","68","69","70","69"
"7070",8329,"Alexander Schwolow","Basic","Germany","Bundesliga","GK",69,"Sport-Club Freiburg","70","72","67","66","67"
"7071",8330,"Alexander Schwolow","Basic","Germany","Bundesliga","GK",69,"Sport-Club Freiburg","70","72","67","66","67"
"7084",8344,"Hidde Jurjus","Basic","Netherlands","Eredivisie","GK",69,"PSV","73","74","64","65","64"
"7086",8347,"Guillaume Hubert","Basic","Belgium","Belgium Pro League","GK",69,"Standard de Liège","70","70","66","71","66"
"7087",8348,"Guillaume Hubert","Basic","Belgium","Belgium Pro League","GK",69,"Standard de Liège","70","70","66","71","66"
"7137",8399,"Matías Dituro","Basic","Argentina","Campeonato Scotiabank","GK",69,"CD Antofagasta","64","68","71","72","71"
"7164",8426,"Alberto Brignoli","Basic","Italy","LaLiga Santander","GK",69,"CD Leganés","67","74","67","73","67"
"7172",8434,"Mauro Goicoechea","Basic","Uruguay","Ligue 1","GK",69,"Toulouse Football Club","70","69","69","69","69"
"7182",8446,"Brighton Mhlongo","Basic","South Africa","Rest of World","GK",69,"Orlando Pirates","73","72","66","70","66"
"7218",8483,"Maxime Dupé","Basic","France","Ligue 1","GK",69,"FC Nantes","69","74","64","73","64"
"7228",8493,"Yassine Bounou","Basic","Morocco","LaLiga 1 I 2 I 3","GK",69,"Girona FC","67","62","70","77","70"
"7368",8653,"Ethan Horvath","Basic","United States","Tippeligaen","GK",68,"Molde FK","68","69","67","73","67"
"7392",8679,"Patrik Carlgren","Basic","Sweden","Allsvenskan","GK",68,"AIK","76","75","65","57","65"
"7411",8698,"Gabriel Castellón","Basic","Chile","Campeonato Scotiabank","GK",68,"Santiago Wanderers","69","74","65","67","65"
"7460",8751,"Thomas Didillon","Basic","France","Ligue 1","GK",68,"Football Club de Metz","70","71","65","73","65"
"7465",8756,"Bruno Varela","Basic","Portugal","Liga NOS","GK",68,"Vitória Setúbal","73","78","63","65","63"
"7475",8767,"Germán Montoya","Basic","Argentina","Primera División","GK",68,"Belgrano de Córdoba","76","63","71","58","71"
"7491",8784,"Jonathan Ligali","Basic","France","Ligue 1","GK",68,"Montpellier Hérault SC","75","70","63","68","63"
"7493",8786,"Parfait Mandanda","Basic","DR Congo","Belgium Pro League","GK",68,"Sporting Charleroi","72","73","65","66","65"
"7518",8812,"Giedrius Arlauskis","Basic","Lithuania","Premier League","GK",68,"Watford","70","77","62","64","62"
"7521",8815,"Colin Coosemans","Basic","Belgium","Belgium Pro League","GK",68,"KV Mechelen","69","69","66","67","66"
"7527",8822,"Michael Esser","Basic","Germany","Bundesliga","GK",68,"SV Darmstadt 98","70","68","69","65","69"
"7528",8823,"José Antonio Rodríguez","Basic","Mexico","LIGA Bancomer MX","GK",68,"Guadalajara","72","69","65","67","65"
"7538",8833,"Park Jun Hyuk","Basic","Korea Republic","K LEAGUE Classic","GK",68,"Seongnam FC","70","71","66","67","66"
"7650",8946,"Juan Carlos","Basic","Spain","LaLiga 1 I 2 I 3","GK",68,"R. Oviedo","81","71","61","60","61"
"7654",8950,"Joan Hartock","Basic","France","Domino’s Ligue 2","GK",68,"Stade Brestois 29","70","68","69","66","69"
"7657",8953,"Manolo Reina","Basic","Spain","LaLiga 1 I 2 I 3","GK",68,"Nàstic","66","67","71","67","71"
"7658",8954,"Alexandr Budakov","Basic","Russia","Sogaz Russian Football Championship","GK",68,"Amkar Perm","66","68","70","71","70"
"7663",8959,"Miguel Pinto","Basic","Chile","Campeonato Scotiabank","GK",68,"CD O'Higgins","73","69","64","65","64"
"7666",8962,"Mário Felgueiras","Basic","Portugal","Liga NOS","GK",68,"FC Paços de Ferreira","64","67","70","70","70"
"7669",8965,"Rob Elliot","Basic","Republic of Ireland","EFL Championship","GK",68,"Newcastle United","69","68","69","67","69"
"7686",8982,"Gökhan Degirmenci","Basic","Turkey","Süper Lig","GK",68,"Gaziantepspor","74","75","67","64","67"
"7695",8991,"David Button","Basic","England","EFL Championship","GK",68,"Fulham","71","72","64","70","64"
"7703",8999,"Patric Klandt","Basic","Germany","Bundesliga","GK",68,"Sport-Club Freiburg","69","70","67","68","67"
"7710",9006,"Adam Larsen Kwarasey","Basic","Ghana","Tippeligaen","GK",68,"Rosenborg BK","66","69","66","71","66"
"7713",9009,"Bréiner Castillo","Basic","Colombia","Liga Dimayor","GK",68,"Envigado FC","66","66","74","68","74"
"7725",9021,"Sašo Fornezzi","Basic","Slovenia","Süper Lig","GK",68,"Antalyaspor","69","71","71","66","71"
"7834",9135,"Stefan Frei","Basic","Switzerland","Major League Soccer","GK",68,"Seattle Sounders FC","69","72","70","64","70"
"7839",9140,"Clint Irwin","Basic","United States","Major League Soccer","GK",68,"Toronto FC","69","69","70","68","70"
"8046",9361,"Alessio Cragno","Basic","Italy","Calcio B","GK",68,"Benevento","77","76","61","65","61"
"8056",9371,"Matt Lampson","Basic","United States","Major League Soccer","GK",68,"Chicago Fire Soccer Club","70","70","66","68","66"
"8060",9375,"Yohann Thuram","Basic","France","Domino’s Ligue 2","GK",68,"Havre Athletic Club","69","69","68","64","68"
"8084",9399,"Paul Reulet","Basic","France","Ligue 1","GK",68,"Stade Malherbe Caen","72","71","69","68","69"
"8106",9421,"Esteban Andrada","Basic","Argentina","Primera División","GK",68,"Club Atlético Lanús","70","74","64","68","64"
"8111",9426,"Michael Gspurning","Basic","Austria","Bundesliga 2","GK",68,"1. FC Union Berlin","69","70","67","68","67"
"8119",9434,"Mickey van der Hart","Basic","Netherlands","Eredivisie","GK",68,"PEC Zwolle","72","76","62","60","62"
"8123",9438,"Evgeniy Konyukhov","Basic","Russia","Sogaz Russian Football Championship","GK",68,"FC Krylya Sovetov Samara","72","71","69","62","69"
"8142",9457,"Cristian Lucchetti","Basic","Argentina","Primera División","GK",68,"Atlético Tucumán","67","70","65","66","65"
"8148",9463,"Marco Silvestri","Basic","Italy","EFL Championship","GK",68,"Leeds United","78","76","67","59","67"
"8150",9465,"Arkadiusz Malarz","Basic","Poland","T-Mobile Ekstraklasa","GK",68,"Legia Warszawa","66","74","69","62","69"
"8152",9467,"Hilario Navarro","Basic","Argentina","Primera División","GK",68,"Club Atlético Banfield","64","75","74","66","74"
"8157",9472,"René Vollath","Basic","Germany","Bundesliga 2","GK",68,"Karlsruher SC","67","71","69","65","69"
"8158",9473,"Anton Kochenkov","Basic","Kyrgyzstan","Sogaz Russian Football Championship","GK",68,"FC Tom Tomsk","65","73","72","66","72"
"8159",9474,"Axel Werner","Basic","Argentina","Primera División","GK",68,"Boca Juniors","78","70","64","67","64"
"8167",9482,"Giorgi Makaridze","Basic","Georgia","Liga NOS","GK",68,"Moreirense FC","73","72","67","63","67"
"8198",9513,"Sean Johnson","Basic","United States","Major League Soccer","GK",68,"Chicago Fire Soccer Club","72","75","64","62","64"
"8221",9537,"Jakub Szmatula","Basic","Poland","T-Mobile Ekstraklasa","GK",68,"Piast Gliwice","69","72","68","70","68"
"8254",9570,"Simone Colombi","Basic","Italy","Calcio B","GK",68,"Carpi","71","74","64","67","64"
"8257",9573,"Ivan Vargic","Basic","Croatia","Calcio A","GK",68,"Lazio","68","72","69","67","69"
"8263",9579,"Eiji Kawashima","Basic","Japan","Ligue 1","GK",68,"Football Club de Metz","72","74","65","61","65"
"8273",9589,"Dirk Orlishausen","Basic","Germany","Bundesliga 2","GK",68,"Karlsruher SC","66","68","71","69","71"
"8280",9596,"Mauricio Viana","Basic","Chile","LIGA Bancomer MX","GK",68,"Jaguares de Chiapas","70","69","67","71","67"
"8282",9598,"Paul Delecroix","Basic","France","Ligue 1","GK",68,"FC Lorient","70","69","68","69","68"
"8294",9610,"Daniel Bentley","Basic","England","EFL Championship","GK",68,"Brentford","69","72","70","67","70"
"8304",9621,"David Bingham","Basic","United States","Major League Soccer","GK",68,"San Jose Earthquakes","70","72","71","65","71"
"8323",9640,"Raïs M'Bolhi","Basic","Algeria","Süper Lig","GK",68,"Antalyaspor","72","80","65","57","65"
"8327",9644,"Brilliant Khuzwayo","Basic","South Africa","Rest of World","GK",68,"Kaizer Chiefs","70","70","67","71","67"
"8333",9650,"Koen Van Langendonck","Basic","Belgium","Belgium Pro League","GK",68,"KVC Westerlo","69","73","67","66","67"
"8336",9653,"Alexandr Selikhov","Basic","Russia","Sogaz Russian Football Championship","GK",68,"Amkar Perm","70","73","66","67","66"
"8341",9658,"Javi Jiménez","Basic","Spain","LaLiga 1 I 2 I 3","GK",68,"SD Huesca","77","70","63","64","63"
"8362",9679,"Pablo Campodónico","Basic","Argentina","Primera División","GK",68,"Club Atlético Aldosivi","71","65","71","65","71"
"8366",9683,"André Onana","Basic","Cameroon","Eredivisie","GK",68,"Ajax","74","73","62","63","62"
"8369",9686,"Adrián Ortolá","Basic","Spain","LaLiga Santander","GK",68,"D. Alavés","73","67","68","66","68"
"8375",9692,"Gino Coutinho","Basic","Suriname","Eredivisie","GK",68,"AZ","73","71","66","65","66"
"8379",9696,"Paulo Lopes","Basic","Portugal","Liga NOS","GK",68,"SL Benfica","68","66","69","75","69"
"8389",9706,"Jesús Fernández","Basic","Spain","LaLiga 1 I 2 I 3","GK",68,"Cádiz CF","69","65","66","73","66"
"8405",9722,"Matej Delac","Basic","Croatia","Belgium Pro League","GK",68,"Royal Excel Mouscron","71","73","64","67","64"
"8407",9724,"Sergey Chepchugov","Basic","Russia","Sogaz Russian Football Championship","GK",68,"CSKA Moscow","66","71","73","68","73"
"8412",9729,"Kim Dong Joon","Basic","Korea Republic","K LEAGUE Classic","GK",68,"Seongnam FC","66","69","72","68","72"
"8413",9730,"William Yarbrough","Basic","United States","LIGA Bancomer MX","GK",68,"Club León","69","70","70","64","70"
"8414",9731,"Alberto","Basic","Spain","LaLiga 1 I 2 I 3","GK",68,"Getafe CF","77","71","66","63","66"
"8435",9752,"Lionel Cappone","Basic","France","Domino’s Ligue 2","GK",68,"Stade Lavallois Mayenne FC","67","73","71","67","71"
"8438",9755,"Boubacar Barry","Basic","Ivory Coast","Belgium Pro League","GK",68,"Sporting Lokeren","68","75","70","63","70"
"8439",9756,"Stefanos Kotsolis","Basic","Greece","Rest of World","GK",68,"Panathinaikos FC","66","71","66","71","66"
"8440",9757,"Federico Agliardi","Basic","Italy","Calcio B","GK",68,"Cesena","68","70","68","66","68"
"8531",9851,"Nicolás Navarro","Basic","Argentina","Primera División","GK",67,"San Lorenzo de Almagro","67","67","66","66","66"
"8541",9862,"Evan Bush","Basic","United States","Major League Soccer","GK",67,"Montreal Impact","70","72","66","64","66"
"8574",9896,"Pierrick Cros","Basic","France","Domino’s Ligue 2","GK",67,"Red Star FC","68","72","66","66","66"
"8580",9902,"Richard O'Donnell","Basic","England","EFL Championship","GK",67,"Bristol City","68","70","64","64","64"
"8595",9917,"Marvin Schwäbe","Basic","Germany","Bundesliga 2","GK",67,"SG Dynamo Dresden","71","72","59","68","59"
"8636",9958,"Chris Seitz","Basic","United States","Major League Soccer","GK",67,"FC Dallas","69","68","72","61","72"
"8640",9962,"Alberto Pelagotti","Basic","Italy","Calcio A","GK",67,"Empoli","68","72","65","68","65"
"8641",9963,"Karl Darlow","Basic","England","EFL Championship","GK",67,"Newcastle United","69","69","64","68","64"
"8642",9964,"Pablo Mina","Basic","Colombia","Liga Dimayor","GK",67,"Corporación Club Deportivo Tuluá","71","73","61","71","61"
"8657",9979,"Joe Lewis","Basic","England","Scottish Premiership","GK",67,"Aberdeen","75","75","63","57","63"
"8668",9990,"Paul Bernardoni","Basic","France","Ligue 1","GK",67,"FC Girondins de Bordeaux","70","71","68","68","68"
"8682",10004,"Dean Gerken","Basic","England","EFL Championship","GK",67,"Ipswich Town","69","70","65","66","65"
"8686",10008,"Simon Pouplin","Basic","France","Ligue 1","GK",67,"OGC Nice","68","70","70","70","70"
"8703",10025,"Tyler Deric","Basic","United States","Major League Soccer","GK",67,"Houston Dynamo","65","77","67","63","67"
"8710",10033,"Olivier Werner","Basic","Belgium","Domino’s Ligue 2","GK",67,"FC Sochaux-Montbéliard","71","72","65","62","65"
"8714",10037,"Massimo Zappino","Basic","Brazil","Calcio B","GK",67,"Frosinone","64","62","68","75","68"
"8719",10042,"Abdulaziz Demircan","Basic","Turkey","Süper Lig","GK",67,"Atiker Konyaspor","67","72","69","64","69"
"8722",10045,"Adrián Gabbarini","Basic","Argentina","Primera División","GK",67,"Club Atlético Tigre","67","66","74","63","74"
"8737",10060,"David Zibung","Basic","Switzerland","Raiffeisen Super League","GK",67,"FC Luzern","72","71","61","69","61"
"8755",10078,"Ali Al-Habsi","Basic","Oman","EFL Championship","GK",67,"Reading","67","67","71","58","71"
"8772",10095,"Casto","Basic","Spain","LaLiga 1 I 2 I 3","GK",67,"UD Almería","78","63","66","62","66"
"8787",10110,"Alex Cordaz","Basic","Italy","Calcio A","GK",67,"Crotone","63","71","69","64","69"
"8795",10118,"Frank Boeckx","Basic","Belgium","Belgium Pro League","GK",67,"RSC Anderlecht","68","67","65","70","65"
"8873",10197,"Juan Carlos Henao","Basic","Colombia","Liga Dimayor","GK",67,"Once Caldas","70","69","66","69","66"
"8878",10203,"Philipp Tschauner","Basic","Germany","Bundesliga 2","GK",67,"Hannover 96","69","71","65","68","65"
"8901",10228,"Jussi Jääskeläinen","Basic","Finland","EFL Championship","GK",67,"Wigan Athletic","70","62","72","67","72"
"8902",10229,"Ferdinando Coppola","Basic","Italy","Calcio B","GK",67,"Hellas Verona","72","66","75","62","75"
"8906",10233,"Luke McCormick","Basic","England","EFL League Two","GK",67,"Plymouth Argyle","65","64","67","63","67"
"8909",10236,"Cyrille Merville","Basic","France","Domino’s Ligue 2","GK",67,"Valenciennes FC","68","68","66","68","66"
"8921",10248,"Kevin Begois","Basic","Belgium","Eredivisie","GK",67,"PEC Zwolle","64","65","71","71","71"
"8928",10255,"Eldin Jakupovic","Basic","Switzerland","Premier League","GK",67,"Hull City","69","71","66","69","66"
"8943",10270,"Bobby Shuttleworth","Basic","United States","Major League Soccer","GK",67,"New England Revolution","68","66","68","67","68"
"8944",10271,"Bobby Shuttleworth","Basic","United States","Major League Soccer","GK",67,"New England Revolution","68","66","68","67","68"
"8956",10283,"David Martin","Basic","England","EFL League One","GK",67,"Milton Keynes Dons","68","72","67","62","67"
"8957",10284,"Stuart Taylor","Basic","England","Premier League","GK",67,"Southampton","64","69","65","72","65"
"8972",10299,"Christofer Heimeroth","Basic","Germany","Bundesliga","GK",67,"Borussia Mönchengladbach","64","73","70","66","70"
"8973",10300,"Robinson Zapata","Basic","Colombia","Liga Dimayor","GK",67,"Independiente Santa Fe","66","64","71","70","71"
"8974",10301,"Robinson Zapata","Basic","Colombia","Liga Dimayor","GK",67,"Independiente Santa Fe","66","64","71","70","71"
"8981",10308,"Ufuk Ceylan","Basic","Turkey","Süper Lig","GK",67,"Medipol Basaksehir FK","70","71","66","64","66"
"9020",10348,"Stefan Ortega","Basic","Germany","Bundesliga 2","GK",67,"TSV 1860 München","68","74","56","66","56"
"9052",10381,"Tim Melia","Basic","United States","Major League Soccer","GK",67,"Sporting Kansas City","70","67","67","64","67"
"9060",10389,"Nick Marsman","Basic","Netherlands","Eredivisie","GK",67,"FC Twente","69","74","63","62","63"
"9061",10390,"Toño Ramirez","Basic","Spain","LaLiga Santander","GK",67,"Real Sociedad","64","69","68","71","68"
"9096",10427,"Konstantinos Lamprou","Basic","Greece","Eredivisie","GK",67,"Willem II","76","75","60","60","60"
"9099",10430,"Mathieu Gorgelin","Basic","France","Ligue 1","GK",67,"Olympique Lyonnais","76","71","63","63","63"
"9108",10439,"Cláudio Ramos","Basic","Portugal","Liga NOS","GK",67,"Tondela","67","67","71","64","71"
"9148",10479,"Sam Johnstone","Basic","England","Premier League","GK",67,"Manchester United","70","73","63","71","63"
"9152",10483,"Vaná","Basic","Brazil","Liga NOS","GK",67,"F. Santa Maria da Feira","67","72","69","64","69"
"9153",10484,"Mark Birighitti","Basic","Australia","Premier League","GK",67,"Swansea City","70","73","67","65","67"
"9161",10492,"Max Grün","Basic","Germany","Bundesliga","GK",67,"VfL Wolfsburg","70","67","68","66","68"
"9182",10513,"Lukas Raeder","Basic","Germany","Liga NOS","GK",67,"Vitória Setúbal","72","74","61","64","61"
"9187",10518,"René","Basic","Spain","LaLiga 1 I 2 I 3","GK",67,"Girona FC","79","59","64","67","64"
"9194",10525,"Matúš Putnocký","Basic","Slovakia","T-Mobile Ekstraklasa","GK",67,"Lech Poznan","70","69","68","70","68"
"9202",10533,"Raphael Wolf","Basic","Germany","Bundesliga","GK",67,"SV Werder Bremen","68","74","65","64","65"
"9208",10539,"Dmitriy Abakumov","Basic","Russia","Sogaz Russian Football Championship","GK",67,"FC Orenburg","66","70","69","67","69"
"9222",10553,"Nikolay Zabolotnyy","Basic","Russia","Sogaz Russian Football Championship","GK",67,"FC Ural","66","70","70","63","70"
"9232",10563,"Ben Amos","Basic","England","EFL League One","GK",67,"Bolton Wanderers","65","71","65","68","65"
"9233",10564,"Ben Amos","Basic","England","EFL Championship","GK",67,"Cardiff City","65","71","65","68","65"
"9236",10567,"Charles","Basic","Brazil","Liga NOS","GK",67,"CS Marítimo","69","71","63","68","63"
"9266",10597,"Rui Silva","Basic","Portugal","Liga NOS","GK",67,"CD Nacional","70","72","67","64","67"
"9295",10626,"Nihat Sahin","Basic","Turkey","Süper Lig","GK",67,"Gençlerbirligi SK","68","71","67","66","67"
"9299",10630,"Khaled Sharahili","Basic","Saudi Arabia","Dawry Jameel","GK",67,"Al Hilal","70","68","68","63","68"
"9303",10634,"Paulo Gazzaniga","Basic","Argentina","LaLiga 1 I 2 I 3","GK",67,"Rayo Vallecano","63","72","60","71","60"
"9304",10635,"Marius Müller","Basic","Germany","Bundesliga","GK",67,"RB Leipzig","69","71","64","67","64"
"9306",10637,"Abdullah Al Enazi","Basic","Saudi Arabia","Dawry Jameel","GK",67,"Al Nassr","69","69","69","64","69"
"9313",10644,"Marin Skender","Basic","Croatia","Alka Superliga","GK",67,"SønderjyskE","67","71","66","65","66"
"9365",10700,"Jake Gleeson","Basic","New Zealand","Major League Soccer","GK",67,"Portland Timbers","68","69","69","67","69"
"9369",10704,"Jorge Broun","Basic","Argentina","Primera División","GK",67,"Colón de Santa Fe","61","69","78","65","78"
"9371",10706,"Joe Bendik","Basic","United States","Major League Soccer","GK",67,"Orlando City Soccer Club","67","70","67","64","67"
"9389",10725,"Nelson Ibáñez","Basic","Argentina","Primera División","GK",67,"Racing Club","69","69","69","64","69"
"9390",10726,"Nelson Ibáñez","Basic","Argentina","Primera División","GK",67,"Club Atlético Tigre","69","69","69","64","69"
"9419",10755,"Yu Sang Hun","Basic","Korea Republic","K LEAGUE Classic","GK",67,"FC Seoul","68","69","63","66","63"
"9432",10768,"Matías Ibáñez","Basic","Argentina","Primera División","GK",67,"Club Atlético Temperley","69","70","67","66","67"
"9463",10800,"Sonny Stevens","Basic","Netherlands","Eredivisie","GK",67,"FC Twente","68","67","63","68","63"
"9495",10832,"Jessy Moulin","Basic","France","Ligue 1","GK",67,"AS Saint-Étienne","70","67","66","70","66"
"9516",10853,"David Forde","Basic","Republic of Ireland","EFL League Two","GK",67,"Portsmouth","65","67","71","69","71"
"9518",10856,"Matthew Jones","Basic","England","Major League Soccer","GK",67,"Philadelphia Union","69","70","68","65","68"
"9531",10869,"Alessandro Iacobucci","Basic","Italy","Calcio B","GK",67,"Chiavari","67","65","66","71","66"
"9539",10877,"Mikkel Andersen","Basic","Denmark","Alka Superliga","GK",67,"FC Midtjylland","68","66","70","70","70"
"9546",10884,"Brian Rowe","Basic","United States","Major League Soccer","GK",67,"LA Galaxy","68","70","68","67","68"
"9567",10905,"Jamie MacDonald","Basic","Scotland","Scottish Premiership","GK",67,"Kilmarnock","72","74","66","62","66"
"9568",10906,"Stole Dimitrievski","Basic","FYR Macedonia","LaLiga 1 I 2 I 3","GK",67,"Nàstic","63","65","69","74","69"
"9641",10984,"Diego Sánchez","Basic","Chile","Campeonato Scotiabank","GK",67,"Unión Española","68","68","60","69","60"
"9769",11133,"Wouter van der Steen","Basic","Netherlands","Eredivisie","GK",66,"SC Heerenveen","64","67","69","69","69"
"9806",11171,"Luis Delgado","Basic","Colombia","Liga Dimayor","GK",66,"Deportes Tolima","63","68","69","65","69"
"9807",11172,"Luis Delgado","Basic","Colombia","Liga Dimayor","GK",66,"Deportes Tolima","63","68","69","65","69"
"9844",11211,"Jorge Bava","Basic","Uruguay","Liga Dimayor","GK",66,"Atlético Bucaramanga","62","67","71","68","71"
"9914",11285,"Falcón","Basic","Spain","LaLiga 1 I 2 I 3","GK",66,"CD Tenerife","72","70","61","63","61"
"9915",11286,"Falcón","Basic","Spain","LaLiga 1 I 2 I 3","GK",66,"CD Tenerife","72","70","61","63","61"
"9918",11289,"Brian Vandenbussche","Basic","Belgium","Belgium Pro League","GK",66,"KAA Gent","64","62","75","70","75"
"9952",11325,"Razak Brimah","Basic","Ghana","LaLiga 1 I 2 I 3","GK",66,"Córdoba CF","72","73","61","59","61"
"9953",11326,"Razak Brimah","Basic","Ghana","LaLiga 1 I 2 I 3","GK",66,"Córdoba CF","72","73","61","59","61"
"9969",11342,"Wes Foderingham","Basic","England","Scottish Premiership","GK",66,"Rangers FC","68","71","63","67","63"
"9991",11364,"Alan Mannus","Basic","Northern Ireland","Scottish Premiership","GK",66,"St. Johnstone FC","68","67","67","67","67"
"10001",11374,"Vitus Eicher","Basic","Germany","Bundesliga 2","GK",66,"TSV 1860 München","67","69","67","66","67"
"10004",11377,"Adam Collin","Basic","England","EFL League Two","GK",66,"Notts County","69","69","64","62","64"
"10008",11381,"Jörg Siebenhandl","Basic","Austria","Bundesliga 2","GK",66,"FC Würzburger Kickers","67","69","62","64","62"
"10022",11395,"Cifuentes","Basic","Spain","LaLiga 1 I 2 I 3","GK",66,"Cádiz CF","58","59","78","76","78"
"10023",11396,"Robert Wulnikowski","Basic","Poland","Bundesliga 2","GK",66,"FC Würzburger Kickers","68","64","73","64","73"
"10037",11410,"Pau Torres","Basic","Spain","LaLiga 1 I 2 I 3","GK",66,"R. Valladolid CF","65","68","73","63","73"
"10047",11420,"Taborda","Basic","Portugal","Liga NOS","GK",66,"Moreirense FC","66","64","70","70","70"
"10055",11428,"Håkon Opdal","Basic","Norway","Tippeligaen","GK",66,"IK Start","64","68","66","67","66"
